,list,Weighted_precision,Weighted_recall,Weighted_f1-score,Macro_precision,Macro_recall,Macro_f1-score,Micro_precision,Micro_recall,Micro_f1-score
32,"[1, 2, 3, 0, 4]",0.1466836213520106,0.115,0.12439361588614978,0.11957315893320453,0.10813333333333333,0.10767616518044745,0.115,0.115,0.115
33,"[1, 2, 3, 4, 0]",0.4687240407668592,0.388,0.4197450957793536,0.4138738523206559,0.35633741496598637,0.37684230024606513,0.388,0.388,0.388
34,"[1, 2, 4, 0, 3]",0.16226785161946003,0.122,0.1373326617973554,0.12578238920065396,0.09833333333333333,0.10858082713749835,0.122,0.122,0.122
35,"[1, 2, 4, 3, 0]",0.37644664350658524,0.293,0.32816791013608493,0.3263004668020649,0.25684353741496596,0.28636703496450083,0.293,0.293,0.293
36,"[1, 3, 0, 2, 4]",0.1307272107063923,0.108,0.11742796700088659,0.10950543117421993,0.09491700680272111,0.10052677206542229,0.108,0.108,0.108
37,"[1, 3, 0, 4, 2]",0.23924506383911182,0.213,0.2247210854596513,0.20036552549265693,0.1826517006802721,0.1902560410237036,0.213,0.213,0.213
38,"[1, 3, 2, 0, 4]",0.07801217326457889,0.072,0.07371567063529642,0.06817776470994145,0.06944761904761905,0.06737214460944996,0.072,0.072,0.072
39,"[1, 3, 2, 4, 0]",0.40005259267942755,0.345,0.3690671505285003,0.3624784580973929,0.3176517006802721,0.3365382796750676,0.345,0.345,0.345
40,"[1, 3, 4, 0, 2]",0.07741519744303536,0.064,0.06996130833601803,0.05979390364249628,0.05004761904761905,0.05436453555692481,0.064,0.064,0.064
41,"[1, 3, 4, 2, 0]",0.2909377637251645,0.232,0.25801966977045715,0.26323450271151067,0.21051700680272106,0.23380140166426117,0.232,0.232,0.232
42,"[1, 4, 0, 2, 3]",0.09943644097384174,0.093,0.09486876394679454,0.09607180429881224,0.09420272108843539,0.0938405848843461,0.093,0.093,0.093
43,"[1, 4, 0, 3, 2]",0.10009266657883784,0.096,0.09764565085108497,0.0931492828312088,0.09224353741496598,0.09218992660401225,0.096,0.096,0.096
44,"[1, 4, 2, 0, 3]",0.04672140353202834,0.057,0.051156467581204366,0.05474413783453376,0.06873333333333334,0.06068595742837377,0.057,0.057,0.057
45,"[1, 4, 2, 3, 0]",0.26090019541915355,0.228,0.24199171591993393,0.2552622154359447,0.227243537414966,0.23847216525537623,0.228,0.228,0.228
46,"[1, 4, 3, 0, 2]",0.030540197443035363,0.042,0.03446305937072036,0.04015104649963914,0.059133333333333336,0.046773686418797734,0.042,0.042,0.042
47,"[1, 4, 3, 2, 0]",0.24406276372516447,0.21,0.2225214208051595,0.24359164556865348,0.2196027210884354,0.22621055252613406,0.21,0.21,0.20999999999999996
48,"[2, 0, 1, 3, 4]",0.14907596897853181,0.168,0.1539909988321779,0.1612099719794412,0.20029115646258502,0.17434048541072167,0.168,0.168,0.168
49,"[2, 0, 1, 4, 3]",0.2569375965062552,0.27,0.2585072303866522,0.2549925877654816,0.2899850340136054,0.2657204126493369,0.27,0.27,0.27
50,"[2, 0, 3, 1, 4]",0.05374578029928656,0.065,0.05659799456155665,0.06606172400100456,0.08799727891156464,0.07334732217903964,0.065,0.065,0.065
51,"[2, 0, 3, 4, 1]",0.20933820297525796,0.205,0.20394812208369206,0.1941266848005221,0.20338503401360547,0.19470904141625844,0.205,0.205,0.205
52,"[2, 0, 4, 1, 3]",0.069330010566736,0.072,0.06953704047276227,0.07227095426845401,0.07819727891156462,0.07425198413609053,0.072,0.072,0.072
53,"[2, 0, 4, 3, 1]",0.11706080571498398,0.11,0.11237093644042338,0.1065532992819311,0.10389115646258502,0.10423377613469416,0.11,0.11,0.11
54,"[2, 1, 0, 3, 4]",0.2905795795072996,0.248,0.26564580010164823,0.23842870014156556,0.21314829931972787,0.22284359178797283,0.248,0.248,0.248
55,"[2, 1, 0, 4, 3]",0.398441207035023,0.35,0.3701620316561225,0.332211315927606,0.30284217687074827,0.314223519026588,0.35,0.35,0.35
56,"[2, 1, 3, 0, 4]",0.2210271103714971,0.194,0.20246320862128359,0.18543046380999592,0.18003809523809525,0.1774273516027583,0.194,0.194,0.194
57,"[2, 1, 3, 4, 0]",0.5430675297863458,0.467,0.49781468851448746,0.4797311571974473,0.4282421768707483,0.446593486668376,0.467,0.467,0.467
58,"[2, 1, 4, 0, 3]",0.23661134063894657,0.201,0.21540225453248923,0.19163969407744536,0.17023809523809524,0.1783320135598092,0.201,0.201,0.201
59,"[2, 1, 4, 3, 0]",0.45079013252607175,0.372,0.40623750287121874,0.3921577716788563,0.3287482993197279,0.3561182213868117,0.372,0.372,0.372
60,"[2, 3, 0, 1, 4]",0.09759608894126186,0.093,0.09415561887173898,0.09311198855126912,0.09559727891156464,0.09321054743459305,0.093,0.093,0.093
61,"[2, 3, 0, 4, 1]",0.25318851161723327,0.233,0.2415057463938744,0.22117694935078663,0.2109850340136054,0.21457226667181187,0.233,0.233,0.233
62,"[2, 3, 1, 0, 4]",0.12337380848470467,0.142,0.12836603166199564,0.1352620001981361,0.1747809523809524,0.14878747048106056,0.142,0.142,0.142
63,"[2, 3, 1, 4, 0]",0.44541422789955326,0.415,0.4237175115551995,0.4295626935855875,0.42298503401360543,0.4179536055466782,0.415,0.415,0.415
64,"[2, 3, 4, 0, 1]",0.09135864522115682,0.084,0.08674596927024111,0.08060532750062599,0.07838095238095238,0.07868076120503305,0.084,0.084,0.084
65,"[2, 3, 4, 1, 0]",0.25780664196003406,0.217,0.23474732164130954,0.24684106008855985,0.21119727891156465,0.2264851770334319,0.217,0.217,0.217
66,"[2, 4, 0, 1, 3]",0.0663053192087113,0.078,0.07159641581764693,0.07967836167586143,0.09488299319727891,0.08652436025351687,0.078,0.078,0.078
67,"[2, 4, 0, 3, 1]",0.11403611435695929,0.116,0.11443031178530805,0.11396070668933848,0.12057687074829933,0.11650615225212049,0.116,0.116,0.116
68,"[2, 4, 1, 0, 3]",0.09208303875215412,0.127,0.10580682860790358,0.1218283733227284,0.17406666666666668,0.1421012832999844,0.127,0.127,0.127
69,"[2, 4, 1, 3, 0]",0.3062618306392793,0.298,0.29664207694663314,0.3223464509241393,0.33257687074829934,0.3198874911269869,0.298,0.298,0.298
70,"[2, 4, 3, 0, 1]",0.04448364522115682,0.062,0.051247720304943435,0.06096247035776884,0.08746666666666666,0.07108991206690597,0.062,0.062,0.062
71,"[2, 4, 3, 1, 0]",0.21093164196003403,0.195,0.1992490726760119,0.2271982029457027,0.2202829931972789,0.21889432789530483,0.195,0.195,0.195
72,"[3, 0, 1, 2, 4]",0.13573556109406656,0.156,0.13934975216055945,0.15349627174524919,0.19825034013605441,0.16728154296083947,0.156,0.156,0.156
